txn_id,amount,currency,status,recorded_at,source
TXNCLEAN001,60799.63,INR,recorded,2025-01-05T08:58:00+00:00,system
TXNCLEAN002,70402.34,INR,recorded,2024-12-30T13:00:00+00:00,system
TXNCLEAN003,22217.89,INR,recorded,2025-01-06T18:59:00+00:00,system
TXNCLEAN004,56041.85,INR,recorded,2025-01-07T20:16:00+00:00,system
TXNCLEAN005,14897.23,INR,recorded,2025-01-01T16:39:00+00:00,system
TXNCLEAN006,25239.80,INR,recorded,2025-01-09T09:20:00+00:00,system
TXNCLEAN007,78819.03,INR,recorded,2025-01-05T16:54:00+00:00,system
TXNCLEAN008,21766.15,INR,recorded,2025-01-06T15:01:00+00:00,system
TXNCLEAN009,60444.67,INR,recorded,2025-01-02T09:40:00+00:00,system
TXNCLEAN010,60377.69,INR,recorded,2025-01-08T04:48:00+00:00,system
TXNCLEAN011,65422.16,INR,recorded,2025-01-11T11:47:00+00:00,system
TXNCLEAN012,25545.22,INR,recorded,2025-01-07T01:51:00+00:00,system
TXNCLEAN013,86894.84,INR,recorded,2025-01-09T14:54:00+00:00,system
TXNCLEAN014,55498.10,INR,recorded,2024-12-27T00:45:00+00:00,system
TXNCLEAN015,10550.22,INR,recorded,2024-12-30T00:42:00+00:00,system
TXNCLEAN016,56670.02,INR,recorded,2025-01-12T02:17:00+00:00,system
TXNCLEAN017,25458.37,INR,recorded,2024-12-31T10:09:00+00:00,system
TXNCLEAN018,83224.65,INR,recorded,2025-01-07T03:40:00+00:00,system
TXNCLEAN019,60754.36,INR,recorded,2025-01-01T14:10:00+00:00,system
TXNCLEAN020,1997.37,INR,recorded,2025-01-03T11:49:00+00:00,system
TXNCLEAN021,53963.81,INR,recorded,2024-12-28T14:53:00+00:00,system
TXNCLEAN022,45230.53,INR,recorded,2024-12-27T22:23:00+00:00,system
TXNCLEAN023,71786.90,INR,recorded,2025-01-01T01:55:00+00:00,system
TXNCLEAN024,49242.07,INR,recorded,2025-01-10T11:03:00+00:00,system
TXNCLEAN025,55963.54,INR,recorded,2025-01-11T08:45:00+00:00,system
TXNCLEAN026,31491.14,INR,recorded,2024-12-28T14:07:00+00:00,system
TXNCLEAN027,74571.15,INR,recorded,2025-01-09T21:53:00+00:00,system
TXNCLEAN028,39143.05,INR,recorded,2025-01-10T19:29:00+00:00,system
TXNCLEAN029,81879.64,INR,recorded,2024-12-30T11:16:00+00:00,system
TXNCLEAN030,44030.27,INR,recorded,2025-01-09T15:17:00+00:00,system
TXNCLEAN031,80648.79,INR,recorded,2024-12-29T06:47:00+00:00,system
TXNCLEAN032,36095.60,INR,recorded,2024-12-30T13:54:00+00:00,system
TXNCLEAN033,68291.02,INR,recorded,2025-01-06T16:19:00+00:00,system
TXNCLEAN034,4906.00,INR,recorded,2025-01-07T13:22:00+00:00,system
TXNCLEAN035,56589.08,INR,recorded,2025-01-04T20:52:00+00:00,system
TXNCLEAN036,62501.84,INR,recorded,2025-01-05T10:12:00+00:00,system
TXNCLEAN037,37690.29,INR,recorded,2025-01-11T13:23:00+00:00,system
TXNCLEAN038,51144.62,INR,recorded,2025-01-01T16:17:00+00:00,system
TXNCLEAN039,15112.29,INR,recorded,2024-12-28T16:49:00+00:00,system
TXNCLEAN040,12887.51,INR,recorded,2025-01-09T10:08:00+00:00,system
TXNCLEAN041,32672.20,INR,recorded,2025-01-04T20:37:00+00:00,system
TXNCLEAN042,26393.12,INR,recorded,2025-01-08T21:14:00+00:00,system
TXNCLEAN043,42058.10,INR,recorded,2025-01-09T18:14:00+00:00,system
TXNCLEAN044,79311.34,INR,recorded,2024-12-30T13:38:00+00:00,system
TXNCLEAN045,85418.39,INR,recorded,2025-01-05T17:35:00+00:00,system
TXNCLEAN046,74144.03,INR,recorded,2025-01-08T10:50:00+00:00,system
TXNCLEAN047,39256.12,INR,recorded,2024-12-29T19:45:00+00:00,system
TXNCLEAN048,74832.47,INR,recorded,2025-01-07T05:35:00+00:00,system
TXNCLEAN049,75588.52,INR,recorded,2025-01-07T07:46:00+00:00,system
TXNCLEAN050,6734.56,INR,recorded,2024-12-28T00:34:00+00:00,system
TXNCLEAN051,83337.09,INR,recorded,2025-01-04T18:33:00+00:00,system
TXNCLEAN052,69252.50,INR,recorded,2024-12-28T13:10:00+00:00,system
TXNCLEAN053,4360.06,INR,recorded,2025-01-07T04:55:00+00:00,system
TXNCLEAN054,87485.12,INR,recorded,2025-01-09T22:24:00+00:00,system
TXNCLEAN055,63404.79,INR,recorded,2025-01-02T23:52:00+00:00,system
TXNCLEAN056,63218.56,INR,recorded,2025-01-08T01:25:00+00:00,system
TXNCLEAN057,79228.83,INR,recorded,2024-12-31T02:58:00+00:00,system
TXNCLEAN058,42088.86,INR,recorded,2025-01-06T21:16:00+00:00,system
TXNCLEAN059,63116.54,INR,recorded,2025-01-05T21:31:00+00:00,system
TXNCLEAN060,19037.47,INR,recorded,2024-12-28T01:51:00+00:00,system
TXNAMOUNTMISMATCH001,58711.66,INR,recorded,2024-12-28T12:43:00+00:00,system
TXNAMOUNTMISMATCH002,67020.29,INR,recorded,2025-01-10T01:23:00+00:00,system
TXNAMOUNTMISMATCH003,35878.46,INR,recorded,2025-01-10T22:45:00+00:00,system
TXNAMOUNTMISMATCH004,43526.43,INR,recorded,2025-01-10T15:00:00+00:00,system
TXNAMOUNTMISMATCH005,37117.38,INR,recorded,2025-01-03T18:00:00+00:00,system
