transaction_id,amount,currency,occurred_at,status,expected_settlement_at
txn-clean-001,42.78,USD,2025-01-14T21:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-002,330.98,USD,2025-01-14T00:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-003,192.89,USD,2025-01-14T07:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-004,896.96,USD,2025-01-14T22:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-005,123.95,USD,2025-01-12T14:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-006,51.65,USD,2025-01-13T05:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-007,132.80,USD,2025-01-15T08:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-008,314.95,USD,2025-01-14T08:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-009,799.07,USD,2025-01-12T19:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-010,745.63,USD,2025-01-15T08:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-011,948.50,USD,2025-01-14T10:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-012,559.87,USD,2025-01-12T14:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-013,598.78,USD,2025-01-14T07:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-014,18.51,USD,2025-01-14T00:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-015,925.06,USD,2025-01-14T15:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-016,455.97,USD,2025-01-13T05:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-017,213.79,USD,2025-01-14T00:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-018,451.18,USD,2025-01-14T08:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-019,131.56,USD,2025-01-14T22:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-020,136.76,USD,2025-01-13T11:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-021,460.82,USD,2025-01-13T14:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-022,66.95,USD,2025-01-14T02:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-023,712.84,USD,2025-01-13T01:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-024,506.15,USD,2025-01-14T20:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-025,733.57,USD,2025-01-15T01:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-026,833.97,USD,2025-01-13T22:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-027,766.74,USD,2025-01-13T13:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-028,933.49,USD,2025-01-14T11:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-029,70.06,USD,2025-01-15T03:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-030,389.30,USD,2025-01-14T06:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-031,315.12,USD,2025-01-15T01:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-032,508.23,USD,2025-01-14T23:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-033,604.29,USD,2025-01-14T00:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-034,223.19,USD,2025-01-13T13:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-035,475.66,USD,2025-01-13T12:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-036,888.41,USD,2025-01-14T09:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-037,929.88,USD,2025-01-14T01:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-038,808.40,USD,2025-01-15T02:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-039,710.10,USD,2025-01-14T14:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-040,224.17,USD,2025-01-14T04:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-041,507.35,USD,2025-01-13T00:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-042,848.86,USD,2025-01-14T01:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-043,297.85,USD,2025-01-12T12:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-044,83.31,USD,2025-01-13T18:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-045,52.07,USD,2025-01-14T06:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-046,535.81,USD,2025-01-13T19:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-047,96.75,USD,2025-01-14T01:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-048,753.41,USD,2025-01-14T08:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-049,288.69,USD,2025-01-13T19:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-050,528.56,USD,2025-01-12T20:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-051,197.26,USD,2025-01-13T01:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-052,193.01,USD,2025-01-14T02:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-053,986.47,USD,2025-01-14T04:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-054,716.44,USD,2025-01-12T12:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-055,989.12,USD,2025-01-14T02:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-056,774.84,USD,2025-01-13T05:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
txn-clean-057,484.47,USD,2025-01-13T08:00:00+00:00,recorded,2025-01-14T12:00:00+00:00
